country,gender,category,year
Belgium,men,U20,2015
Bosnia and Herzegovina,men,U20,2015
Bulgaria,men,U20,2015
Croatia,men,U20,2015
Czech Republic,men,U20,2015
France,men,U20,2015
Germany,men,U20,2015
Great Britain,men,U20,2015
Greece,men,U20,2015
Israel,men,U20,2015
Italy,men,U20,2015
Latvia,men,U20,2015
Lithuania,men,U20,2015
Poland,men,U20,2015
Russia,men,U20,2015
Serbia,men,U20,2015
Slovenia,men,U20,2015
Spain,men,U20,2015
Turkey,men,U20,2015
Ukraine,men,U20,2015
Albania,men,U20,2015
Armenia,men,U20,2015
Austria,men,U20,2015
Belarus,men,U20,2015
Georgia,men,U20,2015
Hungary,men,U20,2015
Kosovo,men,U20,2015
Luxembourg,men,U20,2015
North Macedonia,men,U20,2015
Moldova,men,U20,2015
Montenegro,men,U20,2015
Netherlands,men,U20,2015
Portugal,men,U20,2015
Romania,men,U20,2015
Slovakia,men,U20,2015
Sweden,men,U20,2015
Switzerland,men,U20,2015
Bosnia and Herzegovina,men,U18,2015
Croatia,men,U18,2015
Czech Republic,men,U18,2015
Finland,men,U18,2015
France,men,U18,2015
Germany,men,U18,2015
Greece,men,U18,2015
Italy,men,U18,2015
Latvia,men,U18,2015
Lithuania,men,U18,2015
Montenegro,men,U18,2015
Russia,men,U18,2015
Serbia,men,U18,2015
Spain,men,U18,2015
Turkey,men,U18,2015
Ukraine,men,U18,2015
Albania,men,U18,2015
Austria,men,U18,2015
Belarus,men,U18,2015
Belgium,men,U18,2015
Bulgaria,men,U18,2015
Denmark,men,U18,2015
England,men,U18,2015
Estonia,men,U18,2015
Georgia,men,U18,2015
Hungary,men,U18,2015
Iceland,men,U18,2015
Ireland,men,U18,2015
Israel,men,U18,2015
Luxembourg,men,U18,2015
North Macedonia,men,U18,2015
Netherlands,men,U18,2015
Poland,men,U18,2015
Portugal,men,U18,2015
Romania,men,U18,2015
Scotland,men,U18,2015
Slovakia,men,U18,2015
Slovenia,men,U18,2015
Sweden,men,U18,2015
Switzerland,men,U18,2015
Bosnia and Herzegovina,men,U16,2015
Croatia,men,U16,2015
England,men,U16,2015
Finland,men,U16,2015
France,men,U16,2015
Germany,men,U16,2015
Greece,men,U16,2015
Israel,men,U16,2015
Italy,men,U16,2015
Latvia,men,U16,2015
Lithuania,men,U16,2015
Montenegro,men,U16,2015
Russia,men,U16,2015
Serbia,men,U16,2015
Spain,men,U16,2015
Turkey,men,U16,2015
Austria,men,U16,2015
Belarus,men,U16,2015
Belgium,men,U16,2015
Bulgaria,men,U16,2015
Czech Republic,men,U16,2015
Denmark,men,U16,2015
Estonia,men,U16,2015
Georgia,men,U16,2015
Hungary,men,U16,2015
Iceland,men,U16,2015
Ireland,men,U16,2015
Luxembourg,men,U16,2015
North Macedonia,men,U16,2015
Netherlands,men,U16,2015
Norway,men,U16,2015
Poland,men,U16,2015
Portugal,men,U16,2015
Romania,men,U16,2015
Scotland,men,U16,2015
Slovakia,men,U16,2015
Slovenia,men,U16,2015
Sweden,men,U16,2015
Switzerland,men,U16,2015
Ukraine,men,U16,2015
Bulgaria,men,U20,2014
Croatia,men,U20,2014
Czech Republic,men,U20,2014
France,men,U20,2014
Germany,men,U20,2014
Great Britain,men,U20,2014
Greece,men,U20,2014
Hungary,men,U20,2014
Israel,men,U20,2014
Italy,men,U20,2014
Latvia,men,U20,2014
Lithuania,men,U20,2014
Montenegro,men,U20,2014
Poland,men,U20,2014
Russia,men,U20,2014
Serbia,men,U20,2014
Slovenia,men,U20,2014
Spain,men,U20,2014
Sweden,men,U20,2014
Turkey,men,U20,2014
Austria,men,U20,2014
Belarus,men,U20,2014
Belgium,men,U20,2014
Bosnia and Herzegovina,men,U20,2014
Cyprus,men,U20,2014
Estonia,men,U20,2014
Finland,men,U20,2014
Georgia,men,U20,2014
Luxembourg,men,U20,2014
Netherlands,men,U20,2014
Portugal,men,U20,2014
Romania,men,U20,2014
Switzerland,men,U20,2014
Ukraine,men,U20,2014
Belgium,men,U18,2014
Bosnia and Herzegovina,men,U18,2014
Croatia,men,U18,2014
Czech Republic,men,U18,2014
