category,player_id,gender,country,debut_year,birth_year,birth_month,nr_youth_years,nr_youth_championships,age_13,age_14,age_15,age_16,age_17,age_18,age_19,age_20
senior,32,women,Albania,2010,1990,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,34,women,Albania,2010,1989,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,35,women,Albania,2011,1988,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,37,women,Albania,2010,1990,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,39,women,Albania,2010,1988,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,40,women,Albania,2016,1990,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,43,men,Albania,2007,1988,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,47,men,Albania,2012,1989,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,48,men,Albania,2009,1989,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,54,men,Austria,2011,1988,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,67,women,Belarus,2005,1988,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,70,women,Belarus,2005,1988,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,71,women,Belarus,2012,1988,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,72,men,Belarus,2009,1988,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,79,women,Belarus,2008,1988,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,85,men,Belarus,2016,1988,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,86,men,Belarus,2011,1988,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,91,women,Belgium,2013,1988,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,92,men,Belgium,2009,1988,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,93,men,Belgium,2007,1988,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,98,women,Belgium,2011,1988,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,101,women,Belgium,2007,1988,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,103,women,Belgium,2012,1989,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,118,women,Bosnia and Herzegovina,2004,1988,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,120,women,Bosnia and Herzegovina,2009,1990,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,121,women,Bosnia and Herzegovina,2008,1989,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,127,women,Bosnia and Herzegovina,2006,1990,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,129,men,Bosnia and Herzegovina,2020,1988,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,131,men,Bosnia and Herzegovina,2008,1988,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,132,men,Bosnia and Herzegovina,2006,1988,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,141,women,Bulgaria,2006,1988,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,144,women,Bulgaria,2011,1988,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,145,women,Bulgaria,2008,1988,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,146,men,Bulgaria,2010,1988,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,147,men,Bulgaria,2007,1988,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,152,women,Bulgaria,2009,1989,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,156,men,Bulgaria,2013,1988,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,159,men,Bulgaria,2012,1988,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,178,women,Croatia,2008,1989,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,180,men,Croatia,2013,1988,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,190,men,Cyprus,2011,1988,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,205,women,Czech Republic,2007,1989,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,208,women,Czech Republic,2007,1988,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,209,women,Czech Republic,2013,1988,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
