player_id,gender,country,debut_year,birth_year,birth_month,played_youth
1,Women,Belarus,1997,1980,8,0
2,Women,Belgium,1997,1980,10,1
3,Men,Czech Republic,1998,1980,1,1
4,Men,Finland,1998,1980,9,1
5,Women,Greece,1999,1978,12,0
6,Women,Latvia,1999,1980,4,1
7,Women,Slovakia,1999,1980,6,1
8,Women,Turkey,1999,1982,2,1
9,Men,Finland,2000,1981,3,1
10,Men,Georgia,2000,1984,2,1
11,Men,Iceland,2000,1981,9,1
12,Men,Iceland,2000,1982,9,1
13,Men,Iceland,2000,1982,7,1
14,Women,Italy,2000,1979,5,1
15,Men,Spain,2000,1980,6,1
16,Men,Croatia,2001,1982,6,1
17,Men,France,2001,1982,4,1
18,Women,Italy,2001,1980,9,1
19,Men,Spain,2001,1980,7,1
20,Women,Belarus,2002,1987,7,1
21,Men,Belgium,2002,1983,5,1
22,Men,Croatia,2002,1984,12,1
23,Women,Montenegro,2002,1980,12,0
24,Women,Slovenia,2002,1984,10,1
25,Women,Slovenia,2002,1985,5,1
26,Women,Spain,2002,1979,9,1
27,Women,France,2003,1982,7,1
28,Women,Greece,2003,1985,3,1
29,Men,Israel,2003,1984,1,1
30,Women,Slovakia,2003,1986,11,0
66,Women,Belarus,2004,1986,9,1
70,Women,Belarus,2005,1988,1,1
79,Women,Belarus,2008,1988,3,1
96,Women,Belgium,2004,1986,5,1
165,Men,Croatia,2004,1985,1,1
202,Women,Czech Republic,2004,1984,9,1
205,Women,Czech Republic,2007,1989,10,1
208,Women,Czech Republic,2007,1988,5,1
213,Women,Czech Republic,2015,1988,12,1
228,Men,Great Britain,2009,1988,9,1
244,Women,Great Britain,2006,1990,4,1
291,Men,Finland,2006,1988,4,1
303,Women,France,2008,1988,5,1
307,Men,France,2009,1988,12,1
308,Men,France,2009,1989,1,1
323,Men,Georgia,2004,1986,2,1
324,Men,Georgia,2004,1986,11,1
326,Men,Georgia,2004,1986,2,1
338,Men,Georgia,2004,1983,9,0
374,Men,Greece,2016,1989,2,1
381,Women,Greece,2011,1988,11,1
386,Women,Hungary,2004,1985,11,1
387,Women,Hungary,2004,1984,9,1
393,Women,Hungary,2010,1989,1,1
415,Men,Iceland,2007,1988,7,1
416,Men,Iceland,2009,1988,12,1
462,Men,Israel,2008,1988,6,1
475,Men,Israel,2009,1988,3,1
484,Women,Italy,2004,1985,6,1
489,Women,Italy,2007,1988,12,1
495,Women,Italy,2010,1989,4,1
501,Men,Italy,2011,1988,8,1
507,Women,Italy,2010,1989,3,1
509,Men,Latvia,2004,1983,3,1
511,Women,Latvia,2008,1989,4,1
513,Women,Latvia,2008,1988,1,1
525,Women,Latvia,2014,1989,1,1
536,Men,Lithuania,2010,1988,5,1
570,Women,Montenegro,2004,1983,9,1
572,Women,Montenegro,2008,1989,1,1
573,Women,Montenegro,2008,1989,8,1
574,Women,Montenegro,2016,1988,5,1
609,Men,Poland,2004,1984,1,1
662,Men,Romania,2009,1988,2,1
665,Men,Romania,2007,1988,3,1
