category,gender,country,ranking,ranking_points
senior,Men,Spain,1,722.9
senior,Men,Serbia,2,661.3
senior,Men,France,3,656.5
senior,Men,Greece,4,647.4
senior,Men,Lithuania,5,635.2
senior,Men,Czech Republic,6,591.5
senior,Men,Russia,7,585.4
senior,Men,Italy,8,577.9
senior,Men,Poland,9,567.6
senior,Men,Croatia,10,522.4
senior,Men,Turkey,11,513.2
senior,Men,Slovenia,12,496.4
senior,Men,Germany,13,495.7
senior,Men,Montenegro,14,391.4
senior,Men,Latvia,15,382.2
senior,Men,Ukraine,16,353
senior,Men,Finland,17,319.4
senior,Men,Georgia,18,299.1
senior,Men,Belgium,19,281.9
senior,Men,Hungary,20,262.2
senior,Men,Israel,21,245.7
senior,Men,Great Britain,22,242.7
senior,Men,Netherlands,23,231.2
senior,Men,Bosnia and Herzegovina,24,226.7
senior,Men,Iceland,25,218.2
senior,Men,Estonia,26,209.9
senior,Men,Bulgaria,27,204.6
senior,Men,Belarus,28,195.8
senior,Men,North Macedonia,29,187.6
senior,Men,Romania,30,179.4
senior,Men,Sweden,31,176.4
senior,Men,Austria,32,172.6
senior,Men,Denmark,33,164.5
senior,Men,Portugal,34,153
senior,Men,Switzerland,35,151.5
senior,Men,Slovakia,36,134
senior,Men,Kosovo,37,128.5
senior,Men,Cyprus,38,111.2
senior,Men,Luxembourg,39,110.9
senior,Men,Andorra,40,110.9
senior,Men,Malta,41,109
senior,Men,ArMenia,42,107.9
senior,Men,Norway,43,104.2
senior,Men,Ireland,44,90
senior,Men,Azerbaijan,45,90
senior,Men,Albania,46,88.8
senior,Men,San Marino,47,73.6
senior,Men,Moldova,48,64.5
senior,Men,Gibraltar,49,44.1
