gender,country,birth_year,player_id,birth_month,senior,nr_youth_years,nr_youth_championships,age_13,age_14,age_15,age_16,age_17,age_18,age_19,age_20,debut_age_youth,debut_age_senior,ranking_senior,ranking_youth,ranking_points_senior,ranking_points_youth,ranking_points_senior_std,ranking_points_youth_std,players_lic,players_lic_log_std
Men,Austria,1988,54,7,1,5,6,0,0,0,1,1,2,1,1,16,23,32,NA,172.6,0,0.1726,0.007042253521126761,13920,0.5784928952582222
Men,Austria,1988,55,12,0,5,6,0,0,0,1,1,2,1,1,16,NA,32,NA,172.6,0,0.1726,0.007042253521126761,13920,0.5784928952582222
Men,Austria,1988,56,1,0,3,3,0,0,0,1,1,1,0,0,16,NA,32,NA,172.6,0,0.1726,0.007042253521126761,13920,0.5784928952582222
Men,Austria,1988,57,1,0,4,4,0,0,0,1,1,1,1,0,16,NA,32,NA,172.6,0,0.1726,0.007042253521126761,13920,0.5784928952582222
Men,Austria,1988,58,7,0,1,1,0,0,0,1,0,0,0,0,16,NA,32,NA,172.6,0,0.1726,0.007042253521126761,13920,0.5784928952582222
Men,Austria,1988,59,2,0,4,4,0,0,0,1,1,1,0,1,16,NA,32,NA,172.6,0,0.1726,0.007042253521126761,13920,0.5784928952582222
Men,Austria,1988,60,9,0,4,4,0,0,0,1,0,1,1,1,16,NA,32,NA,172.6,0,0.1726,0.007042253521126761,13920,0.5784928952582222
Men,Austria,1988,61,4,0,4,4,0,0,0,1,0,1,1,1,16,NA,32,NA,172.6,0,0.1726,0.007042253521126761,13920,0.5784928952582222
Men,Austria,1988,63,1,0,1,1,0,0,0,1,0,0,0,0,16,NA,32,NA,172.6,0,0.1726,0.007042253521126761,13920,0.5784928952582222
Men,Austria,1988,64,4,0,1,1,0,0,0,1,0,0,0,0,16,NA,32,NA,172.6,0,0.1726,0.007042253521126761,13920,0.5784928952582222
Men,Austria,1988,65,12,0,1,1,0,0,0,1,0,0,0,0,16,NA,32,NA,172.6,0,0.1726,0.007042253521126761,13920,0.5784928952582222
Men,Austria,1988,1617,5,0,2,2,0,0,0,0,0,1,0,1,18,NA,32,NA,172.6,0,0.1726,0.007042253521126761,13920,0.5784928952582222
Men,Austria,1988,3606,1,1,1,1,0,0,0,0,0,0,0,1,20,23,32,NA,172.6,0,0.1726,0.007042253521126761,13920,0.5784928952582222
Men,Austria,1988,3612,9,0,1,1,0,0,0,0,0,0,0,1,20,NA,32,NA,172.6,0,0.1726,0.007042253521126761,13920,0.5784928952582222
Men,Austria,1989,62,6,0,6,6,0,0,1,1,1,1,1,1,15,NA,32,NA,172.6,0,0.1726,0.007042253521126761,13920,0.5784928952582222
Men,Austria,1989,862,1,0,1,1,0,0,0,1,0,0,0,0,16,NA,32,NA,172.6,0,0.1726,0.007042253521126761,13920,0.5784928952582222
Men,Austria,1989,863,5,0,1,1,0,0,0,1,0,0,0,0,16,NA,32,NA,172.6,0,0.1726,0.007042253521126761,13920,0.5784928952582222
Men,Austria,1989,877,5,0,5,5,0,0,0,1,1,1,1,1,16,NA,32,NA,172.6,0,0.1726,0.007042253521126761,13920,0.5784928952582222
