outcome,gender,variable,value_model,lower_model,upper_model,pd_model,value_moderator_model,lower_moderator_model,upper_moderator_model,pd_moderator_model
senior,men,intercept,-0.9834657443222016,-1.2985357420857626,-0.652613185382113,1,-1.0901767982456976,-1.4281133859120665,-0.7676894211932863,1
senior,men,nr_youth_m,0.5783218234880084,0.2718409372355388,0.8638202532687667,0.99995,0.4030674668090634,0.058194324460660835,0.7521963840581248,0.98705
senior,men,nr_youth_cv,0.05877133691910951,-0.26705502274920956,0.3943493176633943,0.64625,0.03726597211010407,-0.27638410450422535,0.34649096297691573,0.5988
senior,men,players_lic,NA,NA,NA,NA,0.38411966307095774,-0.008944033657218194,0.772892161656017,0.97175
senior,men,phi,2.0589980083442185,1.6035601172730507,2.4870551543442123,NA,2.144557715553819,1.69263752531991,2.584522709467861,NA
senior,women,intercept,0.27908714534930523,-0.2291336281544473,0.7848022057948667,0.8594,-0.05823491962481933,-0.6652155255725022,0.5785973747290856,0.5707
senior,women,nr_youth_m,0.2652169010169088,-0.1487228629558386,0.6495545622936101,0.9074,-0.12493411652873185,-0.5953440254608401,0.38425698269843966,0.69535
senior,women,nr_youth_cv,-0.04193930755127345,-0.30635356605682007,0.22314678088502812,0.62375,0.024218872953438705,-0.22919392439890748,0.27429690997801764,0.57465
senior,women,players_lic,NA,NA,NA,NA,0.6273879908732717,0.11856949510640961,1.1341883862450184,0.992
senior,women,phi,1.8963183917322324,1.4106971298747488,2.3769915158161834,NA,2.0718017153811172,1.5710753004128264,2.5596742298363018,NA
youth,men,intercept,-2.550358991806377,-3.1007626024978094,-2.0071787358673627,1,-2.6710476552549176,-3.2671076692684298,-2.1019314060251153,1
youth,men,nr_youth_m,0.6125012433154899,0.21380422967119533,1.0201721976076599,0.9979,0.46388933829366064,-0.016175196576206502,0.9587110829535148,0.96785
youth,men,nr_youth_cv,-0.05262715034290105,-0.48339203612382015,0.34980825565444323,0.5893,-0.056393079506661364,-0.4909690774568958,0.3365953272012301,0.59585
youth,men,players_lic,NA,NA,NA,NA,0.33999775704081725,-0.2700427037521349,0.9279328112212611,0.86385
youth,men,phi,1.7695487725693342,1.25033375985406,2.2721544649830516,NA,1.82075589438234,1.2887778371882224,2.332509975647424,NA
youth,women,intercept,1.0789658551327779,0.3636225956417201,1.7825548768455306,0.99855,0.6621415167133655,-0.21698314576098032,1.464779612654184,0.93725
youth,women,nr_youth_m,0.6401066673857183,0.12675775759050012,1.1641040821498108,0.9925,0.2670080968350463,-0.35368937227575487,0.8816842681573677,0.8064
youth,women,nr_youth_cv,-0.17315720243975152,-0.4730352613980292,0.11622750029429907,0.8725,-0.12761728732390873,-0.4289511529156224,0.15662836680903774,0.80575
youth,women,players_lic,NA,NA,NA,NA,0.7729296308161644,0.19714010722436462,1.3273793394388378,0.99435
youth,women,phi,1.8290933045766344,1.2666299271964823,2.354027035921389,NA,2.094977849273951,1.4968466897817783,2.630212654374044,NA
