gender,variable,value_model,lower_model,upper_model,pd_model,value_moderator_model,lower_moderator_model,upper_moderator_model,pd_moderator_model
men,intercept,1.890767254190474,1.5760059523200476,2.2085093880102935,1,1.861529827649295,1.3529115652148278,2.3770548854797426,1
men,nr_youth_m,0.1291781959373072,-0.14231288228546565,0.399144170179833,0.8332,0.09464203937729049,-0.25802838575757253,0.43709261239375935,0.70605
men,nr_youth_cv,-0.13694182293925716,-0.45773377944508453,0.1869268205439924,0.8004,-0.12862769753786132,-0.4772754236405889,0.19132324259687128,0.7762
men,players_lic,NA,NA,NA,NA,0.0636287112547756,-0.3749216570126239,0.47716028905296326,0.6177
men,ranking_points_senior,NA,NA,NA,NA,0.05904508458320097,-1.472258501972971,1.554383567324478,0.5302
women,intercept,-0.02734213820941301,-0.5274464838400981,0.48520780566008304,0.5437,0.21091153206549562,-0.6003356413504979,1.0515393238473738,0.6902
women,nr_youth_m,-0.20292264262707402,-0.6282029141279508,0.2098669085811118,0.83255,-0.17380991063606915,-0.7142799858193385,0.3728568044309485,0.73815
women,nr_youth_cv,0.07053327238799534,-0.19052785433310074,0.32248689840777467,0.7046,0.07422852101305594,-0.1963618628484738,0.33786414368211876,0.7121
women,players_lic,NA,NA,NA,NA,0.0329936878631982,-0.5266744265882747,0.5615350387699676,0.55085
women,ranking_points_senior,NA,NA,NA,NA,-0.7022581117799662,-2.337446368398257,0.945492595131822,0.80375
men,sigma,0.7360718808406954,0.6129017070324468,0.8724465561952642,NA,0.7534443430894766,0.621892516660363,0.8940110228511599,NA
